Player,Year,FirstServe,FirstServePointsWon,Aces,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ServiceGamesPlayed,ServiceGamesWon,Wins,Losses,Earnings,Ranking
Pedro Sousa,2016,0.88,0.5,0,7,7,0.43,2,8,0.5,1,2,39820,119
Roman Safiullin,2017,0.84,0.62,7,7,0,0.57,1,9,0.67,0,1,17334,381
Pedro Sousa,2017,0.83,0.6,2,10,8,0.4,1,17,0.65,4,1,109827,119
Rogerio Dutra Silva,2010,0.83,0.64,2,5,6,0.4,0,15,0.8,0,0,9761,125
Daniel Gimeno-Traver,2017,0.81,0.54,1,2,0,0.5,2,2,0.5,0,1,32879,272
Andres Artunedo Martinavarro,2014,0.77,0.67,3,6,2,0.5,1,9,0.67,0,1,10434,495
Eduardo Struvay,2014,0.76,0.65,1,6,7,0.33,0,9,0.56,0,1,24218,1107
Riccardo Bellotti,2017,0.76,0.55,0,9,8,0.33,4,14,0.57,0,1,61154,432
Austin Krajicek,2017,0.76,0.78,9,3,4,0.33,1,16,0.88,0,1,52940,291
Guilherme Clezar,2011,0.76,0.56,3,5,1,0.4,1,8,0.63,0,1,18829,241
Blaz Kavcic,2009,0.76,0.59,3,12,7,0.5,1,14,0.57,3,2,75830,127
Ze Zhang,2010,0.76,0.71,11,10,8,0.7,4,15,0.8,1,4,25635,248
John Millman,2011,0.76,0.72,4,8,3,0.5,3,14,0.71,0,1,20804,91
Jurgen Melzer,2017,0.75,0.57,4,9,4,0.22,1,19,0.63,0,2,80170,581
Kristijan Mesaros,2012,0.75,0.56,6,8,1,0.5,1,8,0.5,0,1,10278,1104
Fabiano De Paula,2014,0.75,0.55,3,8,3,0.5,2,10,0.6,0,0,8103,700
Pedro Sousa,2012,0.74,0.55,3,11,4,0.45,3,13,0.54,0,1,41618,119
Salvatore Caruso,2017,0.74,0.58,0,7,1,0.57,0,8,0.63,0,1,75793,195
Philipp Davydenko,2014,0.74,0.67,3,19,9,0.68,3,24,0.75,1,1,20344,1071
Kenny De Schepper,2016,0.73,0.65,32,52,35,0.6,10,81,0.74,1,5,137647,174
Simone Bolelli,2017,0.73,0.62,15,69,35,0.71,6,84,0.76,2,4,214496,144
Ze Zhang,2013,0.73,0.62,4,12,7,0.5,9,21,0.71,2,4,57974,248
Alexander Ward,2013,0.73,0.65,4,4,1,0.5,0,10,0.8,0,1,17398,315
Kenny De Schepper,2017,0.73,0.7,44,70,71,0.69,28,104,0.79,5,4,116305,174
Darian King,2016,0.73,0.79,7,46,55,1,1,0,0,2,2,70674,179
Darian King,2015,0.72,0.42,1,9,2,0.44,3,7,0.29,5,2,36018,179
Carlos Berlocq,2016,0.72,0.6,20,95,62,0.58,23,109,0.63,4,6,201475,114
Marco Cecchinato,2013,0.72,0.55,2,11,5,0.55,1,11,0.55,0,1,47814,100
Gonzalo Escobar,2016,0.72,0.59,4,10,8,0.6,5,7,0.43,0,0,5973,371
Omar Jasika,2016,0.72,0.68,6,19,16,0.58,4,32,0.75,1,1,59831,531
Rubin Statham,2017,0.71,0.78,8,3,5,0.33,2,16,0.88,0,1,11302,354
Roberto Bautista Agut,2013,0.71,0.65,106,347,344,0.6,82,569,0.75,26,22,489973,16
Flavio Cipolla,2010,0.71,0.52,2,7,0,0.43,3,8,0.5,0,1,14309,649
Louis Wessels,2016,0.71,0.64,5,13,15,0.46,9,21,0.67,1,1,22509,579
Kenny De Schepper,2015,0.7,0.69,92,106,66,0.65,42,186,0.8,4,10,201163,174
Diego Schwartzman,2013,0.7,0.56,6,57,38,0.51,25,67,0.58,1,5,113026,15
Gerard Granollers,2012,0.7,0.58,0,6,5,0.17,2,10,0.5,0,1,9153,388
Frederik Nielsen,2011,0.7,0.53,0,13,2,0.62,1,10,0.5,3,2,22367,549
Riccardo Ghedin,2012,0.7,0.58,2,9,3,0.56,1,9,0.56,0,0,5939,989
Frederik Nielsen,2010,0.7,0.48,1,12,8,0.58,3,9,0.44,1,1,9259,549
Aldin Setkic,2016,0.7,0.62,6,14,2,0.71,8,15,0.73,0,1,61817,227
Matteo Viola,2014,0.7,0.57,2,8,5,0.5,2,10,0.6,0,1,68286,270
Flavio Cipolla,2012,0.7,0.61,31,358,289,0.56,128,432,0.63,4,13,48176,649
Joao Domingues,2017,0.7,0.68,6,14,16,0.5,1,31,0.77,2,1,55789,205
Gregoire Barrere,2016,0.7,0.58,14,21,14,0.48,4,30,0.63,0,2,87637,281
Mate Pavic,2015,0.69,0.7,3,5,6,0.4,0,13,0.77,19,16,102266,938
Simone Bolelli,2011,0.69,0.64,37,97,65,0.58,5,150,0.73,5,9,172425,144
Laurent Lokoli,2015,0.69,0.65,14,22,11,0.59,7,30,0.7,0,2,38600,476
Kevin Anderson,2009,0.69,0.73,75,46,27,0.57,25,96,0.79,2,6,100237,8
John Isner,2011,0.69,0.77,811,217,292,0.66,150,784,0.91,36,21,989679,9
Blaz Kavcic,2015,0.69,0.63,60,130,86,0.5,57,166,0.61,3,10,217755,127
Christopher Eubanks,2016,0.69,0.85,6,1,0,1,8,12,1,0,1,16086,290
Maximo Gonzalez,2010,0.69,0.62,14,113,84,0.58,22,140,0.66,3,9,120565,538
John Isner,2010,0.69,0.76,1048,296,310,0.69,136,916,0.9,38,24,904620,9
Gerald Melzer,2016,0.69,0.67,26,69,46,0.61,22,112,0.76,3,8,174961,115
Riccardo Ghedin,2013,0.69,0.68,3,13,15,0.69,3,16,0.75,0,0,10737,989
Santiago Giraldo,2015,0.69,0.67,122,285,300,0.56,61,510,0.76,22,28,573526,293
Daniel Brands,2011,0.69,0.69,105,103,58,0.57,45,176,0.75,4,11,189392,428
Walter Trusendi,2012,0.69,0.6,4,10,4,0.5,5,10,0.5,0,0,6144,695
Flavio Cipolla,2009,0.69,0.58,15,171,118,0.58,70,175,0.59,2,6,12536,649
Axel Michon,2014,0.69,0.56,5,38,35,0.58,6,35,0.54,1,1,101020,376
Gonzalo Escobar,2015,0.69,0.67,0,4,9,0.5,4,13,0.85,1,0,3542,371
Flavio Cipolla,2013,0.69,0.56,11,99,47,0.52,41,106,0.55,4,7,31342,649
Fernando Verdasco,2011,0.69,0.71,317,377,403,0.63,227,721,0.81,36,24,781150,37
Fernando Verdasco,2012,0.69,0.7,250,335,385,0.65,206,630,0.81,32,22,819124,37
Daniel Brands,2014,0.69,0.71,120,107,76,0.64,24,187,0.8,3,11,188167,428
Pedro Sousa,2013,0.69,0.42,1,15,14,0.4,4,16,0.44,2,1,32597,119
Andrea Arnaboldi,2014,0.69,0.61,7,10,6,0.5,1,14,0.64,0,1,95708,222
Konstantin Kravchuk,2014,0.69,0.72,3,5,1,0.4,0,16,0.81,0,2,89985,323
Bradley Klahn,2010,0.69,0.69,6,16,11,0.56,7,21,0.67,0,1,23059,165
Bradley Klahn,2013,0.69,0.75,32,21,28,0.43,9,64,0.81,1,3,135122,165
